기준년월,행정동코드,매출금액,활성화비율,행정구역,총인구수,월유동인구수,년도,가맹점수_소매,가맹점수_숙박,가맹점수_음식,가맹점수_부동산,가맹점수_과학·기술,가맹점수_시설관리·임대,가맹점수_교육,가맹점수_보건의료,가맹점수_예술·스포츠,가맹점수_수리·개인,가맹점수_기타
202502,4111158000,388288.0,100.0,경기도 수원시 장안구 영화동,17987.0,246640.73,2025,243,11,361,1,13,3,26,25,37,111,17
202503,4111158000,254958.0,100.0,경기도 수원시 장안구 영화동,17996.0,253870.88,2025,243,11,361,1,13,3,26,25,37,111,17
202504,4111158000,241200.0,100.0,경기도 수원시 장안구 영화동,17925.0,254349.06,2025,243,11,361,1,13,3,26,25,37,111,17
202505,4111158000,212132.0,100.0,경기도 수원시 장안구 영화동,17872.0,262221.75,2025,243,11,361,1,13,3,26,25,37,111,17
202506,4111158000,162496.0,100.0,경기도 수원시 장안구 영화동,17819.0,254437.98,2025,243,11,361,1,13,3,26,25,37,111,17
202307,4111159100,39545534.0,100.0,경기도 수원시 장안구 송죽동,18900.0,253406.31,2023,173,1,300,1,8,5,30,16,42,96,22
202308,4111159100,4504434.0,100.0,경기도 수원시 장안구 송죽동,18797.0,249653.62,2023,173,1,300,1,8,5,30,16,42,96,22
202309,4111159100,374866.0,100.0,경기도 수원시 장안구 송죽동,18687.0,251946.78,2023,173,1,300,1,8,5,30,16,42,96,22
202310,4111159100,95366.0,100.0,경기도 수원시 장안구 송죽동,18611.0,256666.03,2023,173,1,300,1,8,5,30,16,42,96,22
202311,4111159100,233558.0,100.0,경기도 수원시 장안구 송죽동,18541.0,252347.7,2023,173,1,300,1,8,5,30,16,42,96,22
202312,4111159100,488954.0,100.0,경기도 수원시 장안구 송죽동,18506.0,256436.7,2023,173,1,300,1,8,5,30,16,42,96,22
202401,4111159100,254180.0,100.0,경기도 수원시 장안구 송죽동,18436.0,265794.7,2024,155,1,308,1,8,5,48,17,41,92,23
202402,4111159100,262372.0,100.0,경기도 수원시 장안구 송죽동,18423.0,237357.45,2024,155,1,308,1,8,5,48,17,41,92,23
202403,4111159100,77096.0,100.0,경기도 수원시 장안구 송죽동,18393.0,267814.28,2024,155,1,308,1,8,5,48,17,41,92,23
202404,4111159100,297146.0,100.0,경기도 수원시 장안구 송죽동,18374.0,261085.89,2024,155,1,308,1,8,5,48,17,41,92,23
202405,4111159100,227126.0,100.0,경기도 수원시 장안구 송죽동,18289.0,257802.66,2024,155,1,308,1,8,5,48,17,41,92,23
202406,4111159100,328484.0,100.0,경기도 수원시 장안구 송죽동,18223.0,243657.8,2024,155,1,308,1,8,5,48,17,41,92,23
202407,4111159100,440704.0,100.0,경기도 수원시 장안구 송죽동,18203.0,253780.16,2024,155,1,308,1,8,5,48,17,41,92,23
202408,4111159100,236914.0,100.0,경기도 수원시 장안구 송죽동,18220.0,244893.98,2024,155,1,308,1,8,5,48,17,41,92,23
202409,4111159100,171190.0,100.0,경기도 수원시 장안구 송죽동,18153.0,274949.22,2024,155,1,308,1,8,5,48,17,41,92,23
202410,4111159100,207870.0,100.0,경기도 수원시 장안구 송죽동,18184.0,245738.69,2024,155,1,308,1,8,5,48,17,41,92,23
202411,4111159100,222086.0,100.0,경기도 수원시 장안구 송죽동,18195.0,230312.1,2024,155,1,308,1,8,5,48,17,41,92,23
202412,4111159100,301414.0,100.0,경기도 수원시 장안구 송죽동,18232.0,233704.1,2024,155,1,308,1,8,5,48,17,41,92,23
202501,4111159100,261062.0,100.0,경기도 수원시 장안구 송죽동,18203.0,242062.27,2025,151,1,290,1,9,3,42,17,40,80,21
202502,4111159100,713486.0,100.0,경기도 수원시 장안구 송죽동,18142.0,222151.4,2025,151,1,290,1,9,3,42,17,40,80,21
202503,4111159100,753830.0,100.0,경기도 수원시 장안구 송죽동,18114.0,263012.2,2025,151,1,290,1,9,3,42,17,40,80,21
202504,4111159100,481992.0,100.0,경기도 수원시 장안구 송죽동,18079.0,254101.86,2025,151,1,290,1,9,3,42,17,40,80,21
202505,4111159100,235860.0,100.0,경기도 수원시 장안구 송죽동,18070.0,248375.22,2025,151,1,290,1,9,3,42,17,40,80,21
202506,4111159100,443540.0,100.0,경기도 수원시 장안구 송죽동,18077.0,250241.12,2025,151,1,290,1,9,3,42,17,40,80,21
202307,4111159700,43312151.0,100.0,경기도 수원시 장안구 조원1동,28785.0,2143133.8,2023,237,0,219,1,6,2,40,11,24,99,18
202308,4111159700,5742222.0,100.0,경기도 수원시 장안구 조원1동,28715.0,2075926.6,2023,237,0,219,1,6,2,40,11,24,99,18
202309,4111159700,1258725.0,100.0,경기도 수원시 장안구 조원1동,28679.0,1972160.0,2023,237,0,219,1,6,2,40,11,24,99,18
202310,4111159700,1096765.0,100.0,경기도 수원시 장안구 조원1동,28609.0,2161495.8,2023,237,0,219,1,6,2,40,11,24,99,18
202311,4111159700,963096.0,100.0,경기도 수원시 장안구 조원1동,28595.0,1912156.6,2023,237,0,219,1,6,2,40,11,24,99,18
202312,4111159700,1051629.0,100.0,경기도 수원시 장안구 조원1동,28582.0,1877019.1,2023,237,0,219,1,6,2,40,11,24,99,18
202401,4111159700,991235.0,100.0,경기도 수원시 장안구 조원1동,28536.0,1878525.6,2024,210,0,223,1,6,2,65,12,25,98,23
202402,4111159700,1192799.0,100.0,경기도 수원시 장안구 조원1동,28505.0,1653856.8,2024,210,0,223,1,6,2,65,12,25,98,23
202403,4111159700,597790.0,100.0,경기도 수원시 장안구 조원1동,28437.0,1990642.0,2024,210,0,223,1,6,2,65,12,25,98,23
202404,4111159700,1026246.0,100.0,경기도 수원시 장안구 조원1동,28313.0,2019254.1,2024,210,0,223,1,6,2,65,12,25,98,23
202405,4111159700,773385.0,100.0,경기도 수원시 장안구 조원1동,28208.0,2022668.5,2024,210,0,223,1,6,2,65,12,25,98,23
202406,4111159700,907402.0,100.0,경기도 수원시 장안구 조원1동,28176.0,2024990.5,2024,210,0,223,1,6,2,65,12,25,98,23
202407,4111159700,1103930.0,100.0,경기도 수원시 장안구 조원1동,28133.0,1975126.8,2024,210,0,223,1,6,2,65,12,25,98,23
202408,4111159700,959246.0,100.0,경기도 수원시 장안구 조원1동,28065.0,2047987.9,2024,210,0,223,1,6,2,65,12,25,98,23
202409,4111159700,1375152.0,100.0,경기도 수원시 장안구 조원1동,27999.0,2161225.2,2024,210,0,223,1,6,2,65,12,25,98,23
202410,4111159700,815095.0,100.0,경기도 수원시 장안구 조원1동,27962.0,1935142.0,2024,210,0,223,1,6,2,65,12,25,98,23
202411,4111159700,1035764.0,100.0,경기도 수원시 장안구 조원1동,27915.0,1827794.1,2024,210,0,223,1,6,2,65,12,25,98,23
202412,4111159700,972936.0,100.0,경기도 수원시 장안구 조원1동,27857.0,1838583.5,2024,210,0,223,1,6,2,65,12,25,98,23
202501,4111159700,1425252.0,100.0,경기도 수원시 장안구 조원1동,27822.0,1871183.6,2025,204,0,192,1,6,2,65,12,23,95,19
202502,4111159700,1154138.0,100.0,경기도 수원시 장안구 조원1동,27767.0,1718619.4,2025,204,0,192,1,6,2,65,12,23,95,19
202503,4111159700,809909.0,100.0,경기도 수원시 장안구 조원1동,27748.0,2005715.4,2025,204,0,192,1,6,2,65,12,23,95,19
202504,4111159700,692113.0,100.0,경기도 수원시 장안구 조원1동,27738.0,1859049.8,2025,204,0,192,1,6,2,65,12,23,95,19
