행정동코드,행정구역,기준연월,총인구수
4111366200,경기도 수원시 권선구 금곡동,202412,44754.0
4111366200,경기도 수원시 권선구 금곡동,202501,44709.0
4111366200,경기도 수원시 권선구 금곡동,202502,44608.0
4111366200,경기도 수원시 권선구 금곡동,202503,44580.0
4111366200,경기도 수원시 권선구 금곡동,202504,44498.0
4111366200,경기도 수원시 권선구 금곡동,202505,44405.0
4111366200,경기도 수원시 권선구 금곡동,202506,44363.0
4111366400,경기도 수원시 권선구 호매실동,202307,45120.0
4111366400,경기도 수원시 권선구 호매실동,202308,44972.0
4111366400,경기도 수원시 권선구 호매실동,202309,44853.0
4111366400,경기도 수원시 권선구 호매실동,202310,44745.0
4111366400,경기도 수원시 권선구 호매실동,202311,44655.0
4111366400,경기도 수원시 권선구 호매실동,202312,44651.0
4111366400,경기도 수원시 권선구 호매실동,202401,44718.0
4111366400,경기도 수원시 권선구 호매실동,202402,44608.0
4111366400,경기도 수원시 권선구 호매실동,202403,44535.0
4111366400,경기도 수원시 권선구 호매실동,202404,44420.0
4111366400,경기도 수원시 권선구 호매실동,202405,44419.0
4111366400,경기도 수원시 권선구 호매실동,202406,44427.0
4111366400,경기도 수원시 권선구 호매실동,202407,44407.0
4111366400,경기도 수원시 권선구 호매실동,202408,44373.0
4111366400,경기도 수원시 권선구 호매실동,202409,44312.0
4111366400,경기도 수원시 권선구 호매실동,202410,44254.0
4111366400,경기도 수원시 권선구 호매실동,202411,44157.0
4111366400,경기도 수원시 권선구 호매실동,202412,44128.0
4111366400,경기도 수원시 권선구 호매실동,202501,44114.0
4111366400,경기도 수원시 권선구 호매실동,202502,44039.0
4111366400,경기도 수원시 권선구 호매실동,202503,44026.0
4111366400,경기도 수원시 권선구 호매실동,202504,43916.0
4111366400,경기도 수원시 권선구 호매실동,202505,43896.0
4111366400,경기도 수원시 권선구 호매실동,202506,43919.0
4111367000,경기도 수원시 권선구 권선1동,202307,24385.0
4111367000,경기도 수원시 권선구 권선1동,202308,24258.0
4111367000,경기도 수원시 권선구 권선1동,202309,24200.0
4111367000,경기도 수원시 권선구 권선1동,202310,24186.0
4111367000,경기도 수원시 권선구 권선1동,202311,24185.0
4111367000,경기도 수원시 권선구 권선1동,202312,24177.0
4111367000,경기도 수원시 권선구 권선1동,202401,24267.0
4111367000,경기도 수원시 권선구 권선1동,202402,24320.0
4111367000,경기도 수원시 권선구 권선1동,202403,24360.0
4111367000,경기도 수원시 권선구 권선1동,202404,24363.0
4111367000,경기도 수원시 권선구 권선1동,202405,24346.0
4111367000,경기도 수원시 권선구 권선1동,202406,24295.0
4111367000,경기도 수원시 권선구 권선1동,202407,24269.0
4111367000,경기도 수원시 권선구 권선1동,202408,24253.0
4111367000,경기도 수원시 권선구 권선1동,202409,24204.0
4111367000,경기도 수원시 권선구 권선1동,202410,24088.0
4111367000,경기도 수원시 권선구 권선1동,202411,24093.0
4111367000,경기도 수원시 권선구 권선1동,202412,24090.0
4111367000,경기도 수원시 권선구 권선1동,202501,24082.0
4111367000,경기도 수원시 권선구 권선1동,202502,24110.0
4111367000,경기도 수원시 권선구 권선1동,202503,24031.0
4111367000,경기도 수원시 권선구 권선1동,202504,23993.0
4111367000,경기도 수원시 권선구 권선1동,202505,23876.0
4111367000,경기도 수원시 권선구 권선1동,202506,23821.0
4111368000,경기도 수원시 권선구 권선2동,202307,46913.0
4111368000,경기도 수원시 권선구 권선2동,202308,46733.0
4111368000,경기도 수원시 권선구 권선2동,202309,46692.0
4111368000,경기도 수원시 권선구 권선2동,202310,46597.0
4111368000,경기도 수원시 권선구 권선2동,202311,46583.0
4111368000,경기도 수원시 권선구 권선2동,202312,46505.0
4111368000,경기도 수원시 권선구 권선2동,202401,46458.0
4111368000,경기도 수원시 권선구 권선2동,202402,46258.0
4111368000,경기도 수원시 권선구 권선2동,202403,46214.0
4111368000,경기도 수원시 권선구 권선2동,202404,46117.0
4111368000,경기도 수원시 권선구 권선2동,202405,46050.0
4111368000,경기도 수원시 권선구 권선2동,202406,46035.0
