기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
3,4117357600,263737,경기도 안양시 동안구 평안동,22832,1527180.4,2024,0
4,4117357600,440357,경기도 안양시 동안구 평안동,22825,1674768.5,2024,0
5,4117357600,396249,경기도 안양시 동안구 평안동,22796,1610144.0,2024,0
6,4117357600,434769,경기도 안양시 동안구 평안동,22756,1530879.6,2024,0
7,4117357600,627429,경기도 안양시 동안구 평안동,22715,1562065.4,2024,0
8,4117357600,505404,경기도 안양시 동안구 평안동,22648,1580109.0,2024,0
9,4117357600,465574,경기도 안양시 동안구 평안동,22573,1513998.5,2024,0
10,4117357600,353076,경기도 안양시 동안구 평안동,22587,1446375.9,2024,0
11,4117357600,348744,경기도 안양시 동안구 평안동,22558,1369810.6,2024,0
12,4117357600,206802,경기도 안양시 동안구 평안동,22560,1375992.2,2024,0
1,4117357600,194334,경기도 안양시 동안구 평안동,22555,1369101.4,2025,0
2,4117357600,277709,경기도 안양시 동안구 평안동,22536,1316172.8,2025,0
3,4117357600,264991,경기도 안양시 동안구 평안동,22480,1421483.6,2025,0
4,4117357600,236524,경기도 안양시 동안구 평안동,22510,1451511.6,2025,0
5,4117357600,213010,경기도 안양시 동안구 평안동,22503,1421948.1,2025,0
6,4117357600,242626,경기도 안양시 동안구 평안동,22464,1488893.9,2025,0
7,4117358000,115000902,경기도 안양시 동안구 호계1동,18326,1196072.8,2023,0
8,4117358000,14457512,경기도 안양시 동안구 호계1동,18364,1164566.5,2023,0
9,4117358000,1128108,경기도 안양시 동안구 호계1동,18384,1133576.8,2023,0
10,4117358000,1002453,경기도 안양시 동안구 호계1동,18407,1201040.2,2023,0
11,4117358000,792349,경기도 안양시 동안구 호계1동,18760,1230919.8,2023,0
12,4117358000,932957,경기도 안양시 동안구 호계1동,21250,1436523.8,2023,0
1,4117358000,853508,경기도 안양시 동안구 호계1동,23743,1505147.1,2024,0
2,4117358000,498942,경기도 안양시 동안구 호계1동,24658,1318068.5,2024,0
3,4117358000,360518,경기도 안양시 동안구 호계1동,25038,1408497.1,2024,0
4,4117358000,655823,경기도 안양시 동안구 호계1동,25278,1405331.2,2024,0
5,4117358000,824800,경기도 안양시 동안구 호계1동,25451,1415971.4,2024,0
6,4117358000,947174,경기도 안양시 동안구 호계1동,25522,1383317.5,2024,0
7,4117358000,1128586,경기도 안양시 동안구 호계1동,25642,1476185.5,2024,0
8,4117358000,1082614,경기도 안양시 동안구 호계1동,25701,1428421.0,2024,0
9,4117358000,1263292,경기도 안양시 동안구 호계1동,25719,1440639.9,2024,0
10,4117358000,724534,경기도 안양시 동안구 호계1동,25950,1452840.9,2024,0
11,4117358000,1095822,경기도 안양시 동안구 호계1동,26126,1408472.0,2024,0
12,4117358000,1163811,경기도 안양시 동안구 호계1동,26369,1423452.4,2024,0
1,4117358000,1051345,경기도 안양시 동안구 호계1동,26538,1472806.4,2025,0
2,4117358000,1589525,경기도 안양시 동안구 호계1동,26628,1418907.4,2025,0
3,4117358000,1531815,경기도 안양시 동안구 호계1동,26642,1451832.6,2025,0
4,4117358000,644558,경기도 안양시 동안구 호계1동,26670,1430599.5,2025,0
5,4117358000,548809,경기도 안양시 동안구 호계1동,26767,1432074.0,2025,0
6,4117358000,606836,경기도 안양시 동안구 호계1동,26801,1415576.1,2025,0
7,4117359000,52395175,경기도 안양시 동안구 호계2동,19039,1764297.5,2023,0
8,4117359000,8148920,경기도 안양시 동안구 호계2동,18993,1720107.0,2023,0
9,4117359000,139138,경기도 안양시 동안구 호계2동,18934,1723505.5,2023,0
10,4117359000,100010,경기도 안양시 동안구 호계2동,18943,1774391.5,2023,0
11,4117359000,133666,경기도 안양시 동안구 호계2동,18903,1739377.9,2023,0
12,4117359000,143302,경기도 안양시 동안구 호계2동,18847,1708811.6,2023,0
1,4117359000,79056,경기도 안양시 동안구 호계2동,18816,1770402.6,2024,0
2,4117359000,32622,경기도 안양시 동안구 호계2동,18796,1617552.2,2024,0
3,4117359000,68798,경기도 안양시 동안구 호계2동,18791,1723912.2,2024,0
4,4117359000,84512,경기도 안양시 동안구 호계2동,18762,1840185.2,2024,0
5,4117359000,47372,경기도 안양시 동안구 호계2동,18774,1764689.4,2024,0
6,4117359000,86186,경기도 안양시 동안구 호계2동,18744,1702977.5,2024,0
7,4117359000,82244,경기도 안양시 동안구 호계2동,18705,1696371.5,2024,0
8,4117359000,150614,경기도 안양시 동안구 호계2동,19662,1934216.8,2024,0
9,4117359000,56104,경기도 안양시 동안구 호계2동,21969,2096600.9,2024,0
10,4117359000,31980,경기도 안양시 동안구 호계2동,23460,2112473.5,2024,0
11,4117359000,39838,경기도 안양시 동안구 호계2동,23898,1981448.8,2024,0
12,4117359000,63140,경기도 안양시 동안구 호계2동,24195,1995855.8,2024,0
1,4117359000,18986,경기도 안양시 동안구 호계2동,24440,2093916.0,2025,0
2,4117359000,24056,경기도 안양시 동안구 호계2동,24579,1966019.5,2025,0
3,4117359000,14514,경기도 안양시 동안구 호계2동,24669,2070664.1,2025,0
4,4117359000,36880,경기도 안양시 동안구 호계2동,25566,2096580.0,2025,0
5,4117359000,247638,경기도 안양시 동안구 호계2동,26106,2224976.0,2025,0
6,4117359000,155324,경기도 안양시 동안구 호계2동,26375,2146450.0,2025,0
7,4117360000,110297033,경기도 안양시 동안구 호계3동,23247,336997.25,2023,0
8,4117360000,16105516,경기도 안양시 동안구 호계3동,23280,331370.62,2023,0
9,4117360000,645565,경기도 안양시 동안구 호계3동,23283,330404.9,2023,0
10,4117360000,697874,경기도 안양시 동안구 호계3동,23285,336904.6,2023,0
11,4117360000,241840,경기도 안양시 동안구 호계3동,23237,329597.22,2023,0
12,4117360000,575717,경기도 안양시 동안구 호계3동,23160,336392.44,2023,0
1,4117360000,236885,경기도 안양시 동안구 호계3동,23121,342364.7,2024,0
2,4117360000,306081,경기도 안양시 동안구 호계3동,23219,342048.0,2024,0
3,4117360000,334206,경기도 안양시 동안구 호계3동,23265,348257.03,2024,0
4,4117360000,243300,경기도 안양시 동안구 호계3동,23276,352865.62,2024,0
5,4117360000,132031,경기도 안양시 동안구 호계3동,23242,350259.62,2024,0
6,4117360000,197355,경기도 안양시 동안구 호계3동,23224,346699.16,2024,0
7,4117360000,363469,경기도 안양시 동안구 호계3동,23187,371801.97,2024,0
8,4117360000,370904,경기도 안양시 동안구 호계3동,23127,362407.88,2024,0
9,4117360000,321164,경기도 안양시 동안구 호계3동,23055,368582.2,2024,0
10,4117360000,155604,경기도 안양시 동안구 호계3동,22993,359459.88,2024,0
11,4117360000,277951,경기도 안양시 동안구 호계3동,22982,358455.38,2024,0
12,4117360000,389708,경기도 안양시 동안구 호계3동,22871,360719.56,2024,0
1,4117360000,201191,경기도 안양시 동안구 호계3동,22865,364919.0,2025,0
2,4117360000,356562,경기도 안양시 동안구 호계3동,22816,346732.5,2025,0
3,4117360000,736810,경기도 안양시 동안구 호계3동,22791,360896.25,2025,0
4,4117360000,448533,경기도 안양시 동안구 호계3동,22793,353435.12,2025,0
5,4117360000,421214,경기도 안양시 동안구 호계3동,22795,353193.03,2025,0
6,4117360000,566277,경기도 안양시 동안구 호계3동,22798,345579.5,2025,0
7,4117361000,269004925,경기도 안양시 동안구 범계동,15328,3006572.8,2023,0
8,4117361000,55006615,경기도 안양시 동안구 범계동,15368,2938587.0,2023,0
9,4117361000,1110100,경기도 안양시 동안구 범계동,15355,2773103.8,2023,0
10,4117361000,1122776,경기도 안양시 동안구 범계동,15351,2744586.2,2023,0
11,4117361000,924038,경기도 안양시 동안구 범계동,15391,2677314.5,2023,0
12,4117361000,969204,경기도 안양시 동안구 범계동,15326,2923775.2,2023,0
1,4117361000,901192,경기도 안양시 동안구 범계동,15261,2772421.0,2024,0
2,4117361000,564292,경기도 안양시 동안구 범계동,15243,2581152.5,2024,0
3,4117361000,396102,경기도 안양시 동안구 범계동,15239,2754996.2,2024,0
4,4117361000,673912,경기도 안양시 동안구 범계동,15227,2655918.2,2024,0
5,4117361000,537640,경기도 안양시 동안구 범계동,15254,2829716.8,2024,0
6,4117361000,705830,경기도 안양시 동안구 범계동,15260,2502117.0,2024,0
7,4117361000,722508,경기도 안양시 동안구 범계동,15194,2673600.2,2024,0
